,Country,Number,Month
232,          Suïssa  ,14092.0,May
233,          Turquia  ,5387.0,May
234,          Ucraïna  ,1279.0,May
235,          Resta d'Europa  ,9264.0,May
236,          Argentina  ,8820.0,May
237,          Brasil  ,8127.0,May
238,          Canada  ,9745.0,May
239,          Estats Units  ,63596.0,May
240,          Mèxic  ,3861.0,May
241,          Resta d'Amèrica   ,17290.0,May
242,          Sudàfrica  ,832.0,May
243,          Resta d'Àfrica  ,8303.0,May
244,          Japó  ,12323.0,May
245,          Xina  ,8142.0,May
246,          Corea Del Sud  ,3151.0,May
247,          Resta d'Àsia  ,22483.0,May
248,          Austràlia  ,8213.0,May
249,          Resta del món  ,23919.0,May
250,          Alemanya  ,38393.0,June
251,          Àustria  ,6351.0,June
252,          Bèlgica  ,10534.0,June
253,          Bulgària  ,553.0,June
254,          Xipre  ,245.0,June
255,          Croàcia  ,693.0,June
256,          Dinamarca  ,5745.0,June
257,          Eslovàquia  ,477.0,June
258,          Eslovènia  ,523.0,June
259,          Estònia  ,346.0,June
260,          Finlàndia  ,5947.0,June
261,          França  ,68454.0,June
262,          Grècia  ,2526.0,June
263,          Hongria  ,1318.0,June
264,          Irlanda  ,6635.0,June
265,          Itàlia  ,42833.0,June
266,          Letònia  ,337.0,June
267,          Lituània  ,472.0,June
268,          Luxemburg  ,720.0,June
269,          Malta  ,426.0,June
270,          Països Baixos  ,14987.0,June
271,          Polònia  ,3934.0,June
272,          Portugal  ,7841.0,June
273,          Regne Unit  ,64774.0,June
274,          Republica Checa  ,1909.0,June
275,          Romania  ,2408.0,June
276,          Suècia  ,12433.0,June
277,          Resta Unió Europea  ,4084.0,June
278,          Islàndia  ,624.0,June
279,          Liechtenstein  ,72.0,June
280,          Noruega  ,9044.0,June
281,          Rússia  ,10730.0,June
282,          Suïssa  ,12787.0,June
283,          Turquia  ,3043.0,June
284,          Ucraïna  ,1434.0,June
285,          Resta d'Europa  ,9451.0,June
286,          Argentina  ,10466.0,June
287,          Brasil  ,5832.0,June
288,          Canada  ,9017.0,June
289,          Estats Units  ,81976.0,June
290,          Mèxic  ,4677.0,June
291,          Resta d'Amèrica   ,19283.0,June
292,          Sudàfrica  ,885.0,June
293,          Resta d'Àfrica  ,6507.0,June
294,          Japó  ,11520.0,June
295,          Xina  ,9712.0,June
296,          Corea Del Sud  ,2919.0,June
297,          Resta d'Àsia  ,20099.0,June
298,          Austràlia  ,8807.0,June
299,          Resta del món  ,22533.0,June
300,          Alemanya  ,36598.0,July
301,          Àustria  ,8068.0,July
302,          Bèlgica  ,14259.0,July
303,          Bulgària  ,804.0,July
304,          Xipre  ,867.0,July
305,          Croàcia  ,543.0,July
306,          Dinamarca  ,10748.0,July
307,          Eslovàquia  ,658.0,July
308,          Eslovènia  ,360.0,July
309,          Estònia  ,659.0,July
310,          Finlàndia  ,7381.0,July
311,          França  ,55690.0,July
312,          Grècia  ,2586.0,July
313,          Hongria  ,1492.0,July
314,          Irlanda  ,7044.0,July
315,          Itàlia  ,39054.0,July
316,          Letònia  ,297.0,July
317,          Lituània  ,666.0,July
318,          Luxemburg  ,994.0,July
319,          Malta  ,686.0,July
320,          Països Baixos  ,17989.0,July
321,          Polònia  ,5070.0,July
322,          Portugal  ,7731.0,July
323,          Regne Unit  ,69358.0,July
324,          Republica Checa  ,2118.0,July
325,          Romania  ,2575.0,July
326,          Suècia  ,14986.0,July
327,          Resta Unió Europea  ,4050.0,July
328,          Islàndia  ,727.0,July
329,          Liechtenstein  ,180.0,July
330,          Noruega  ,13902.0,July
331,          Rússia  ,11406.0,July
332,          Suïssa  ,16457.0,July
333,          Turquia  ,4072.0,July
334,          Ucraïna  ,1582.0,July
335,          Resta d'Europa  ,9484.0,July
336,          Argentina  ,8880.0,July
337,          Brasil  ,8134.0,July
338,          Canada  ,13463.0,July
339,          Estats Units  ,83851.0,July
340,          Mèxic  ,8512.0,July
341,          Resta d'Amèrica   ,17395.0,July
342,          Sudàfrica  ,1234.0,July
343,          Resta d'Àfrica  ,11744.0,July
344,          Japó  ,9097.0,July
345,          Xina  ,9682.0,July
346,          Corea Del Sud  ,3370.0,July
347,          Resta d'Àsia  ,29525.0,July
348,          Austràlia  ,12262.0,July
349,          Resta del món  ,31691.0,July
350,          Alemanya  ,37286.0,August
351,          Àustria  ,7380.0,August
352,          Bèlgica  ,12739.0,August
353,          Bulgària  ,628.0,August
354,          Xipre  ,653.0,August
355,          Croàcia  ,1120.0,August
356,          Dinamarca  ,5901.0,August
357,          Eslovàquia  ,527.0,August
358,          Eslovènia  ,280.0,August
359,          Estònia  ,432.0,August
360,          Finlàndia  ,4975.0,August
361,          França  ,78731.0,August
362,          Grècia  ,2449.0,August
363,          Hongria  ,1747.0,August
364,          Irlanda  ,6810.0,August
365,          Itàlia  ,54842.0,August
366,          Letònia  ,363.0,August
367,          Lituània  ,675.0,August
368,          Luxemburg  ,905.0,August
369,          Malta  ,597.0,August
370,          Països Baixos  ,18240.0,August
371,          Polònia  ,4793.0,August
372,          Portugal  ,8275.0,August
373,          Regne Unit  ,67547.0,August
374,          Republica Checa  ,1387.0,August
375,          Romania  ,2784.0,August
376,          Suècia  ,10819.0,August
377,          Resta Unió Europea  ,4386.0,August
378,          Islàndia  ,695.0,August
379,          Liechtenstein  ,537.0,August
380,          Noruega  ,7954.0,August
381,          Rússia  ,13282.0,August
382,          Suïssa  ,12338.0,August
383,          Turquia  ,2277.0,August
384,          Ucraïna  ,1750.0,August
385,          Resta d'Europa  ,9041.0,August
386,          Argentina  ,8678.0,August
387,          Brasil  ,5555.0,August
388,          Canada  ,12249.0,August
389,          Estats Units  ,63813.0,August
390,          Mèxic  ,3866.0,August
391,          Resta d'Amèrica   ,16327.0,August
392,          Sudàfrica  ,800.0,August
393,          Resta d'Àfrica  ,14250.0,August
394,          Japó  ,11326.0,August
395,          Xina  ,7784.0,August
396,          Corea Del Sud  ,3064.0,August
397,          Resta d'Àsia  ,29073.0,August
398,          Austràlia  ,9697.0,August
399,          Resta del món  ,28318.0,August
400,          Alemanya  ,47141.0,September
401,          Àustria  ,7148.0,September
402,          Bèlgica  ,12285.0,September
403,          Bulgària  ,1053.0,September
404,          Xipre  ,457.0,September
405,          Croàcia  ,447.0,September
406,          Dinamarca  ,8012.0,September
407,          Eslovàquia  ,500.0,September
408,          Eslovènia  ,316.0,September
409,          Estònia  ,372.0,September
410,          Finlàndia  ,5367.0,September
411,          França  ,41037.0,September
412,          Grècia  ,2531.0,September
413,          Hongria  ,1609.0,September
414,          Irlanda  ,7749.0,September
415,          Itàlia  ,37379.0,September
416,          Letònia  ,319.0,September
417,          Lituània  ,562.0,September
418,          Luxemburg  ,495.0,September
419,          Malta  ,289.0,September
420,          Països Baixos  ,14985.0,September
421,          Polònia  ,5400.0,September
422,          Portugal  ,7112.0,September
